diagnostic ultrasound	is a	imaging modality
diagnostic ultrasound	used for	abdominal evaluation
diagnostic ultrasound	used for	retroperitoneal evaluation
diagnostic ultrasound	detects	organ size
diagnostic ultrasound	detects	organ shape
diagnostic ultrasound	detects	organ position
diagnostic ultrasound	detects	organ texture
diagnostic ultrasound	detects	cyst
diagnostic ultrasound	detects	mass
diagnostic ultrasound	detects	abscess
diagnostic ultrasound	detects	hematoma
diagnostic ultrasound	detects	calcification
diagnostic ultrasound	detects	vascular flow
diagnostic ultrasound	detects	blood flow
diagnostic ultrasound	detects	bile duct dilation
diagnostic ultrasound	detects	gallstones
diagnostic ultrasound	detects	pancreatic pseudocyst
diagnostic ultrasound	detects	liver lesion
diagnostic ultrasound	detects	kidney stone
diagnostic ultrasound	detects	hydronephrosis
diagnostic ultrasound	detects	splenic infarct
diagnostic ultrasound	detects	adrenal tumor
diagnostic ultrasound	detects	retroperitoneal fibrosis
diagnostic ultrasound	detects	lymphadenopathy
diagnostic ultrasound	detects	mesenteric ischemia
diagnostic ultrasound	detects	portal hypertension
diagnostic ultrasound	detects	hepatic steatosis
diagnostic ultrasound	detects	hepatic fibrosis
diagnostic ultrasound	detects	hepatic cirrhosis
diagnostic ultrasound	detects	hepatic hemangioma
diagnostic ultrasound	detects	hepatic adenoma
diagnostic ultrasound	detects	hepatic metastasis
diagnostic ultrasound	detects	splenic cyst
diagnostic ultrasound	detects	splenic abscess
diagnostic ultrasound	detects	splenic infarction
diagnostic ultrasound	detects	splenic rupture
diagnostic ultrasound	detects	pancreatic tumor
diagnostic ultrasound	detects	pancreatic cyst
diagnostic ultrasound	detects	pancreatic duct dilation
diagnostic ultrasound	detects	pancreatic necrosis
diagnostic ultrasound	detects	pancreatic pseudocyst
diagnostic ultrasound	detects	pancreatic carcinoma
diagnostic ultrasound	detects	pancreatic neuroendocrine tumor
diagnostic ultrasound	detects	pancreatic cystic neoplasm
diagnostic ultrasound	detects	pancreatic cystic lesion
diagnostic ultrasound	detects	pancreatic cystic lesion
