radiation therapy	is a	medical treatment
radiation therapy	used for	cancer
radiation therapy	uses	ionizing radiation
radiation therapy	delivered by	linear accelerator
radiation therapy	delivered by	cobalt-60 source
radiation therapy	delivered by	brachytherapy
radiation therapy	delivered by	proton therapy
radiation therapy	delivered by	carbon ion therapy
radiation therapy	delivered by	electron beam
radiation therapy	delivered by	gamma knife
radiation therapy	delivered by	stereotactic radiosurgery
radiation therapy	delivered by	intensity‑modulated radiation therapy
radiation therapy	delivered by	volumetric modulated arc therapy
radiation therapy	delivered by	tomotherapy
radiation therapy	delivered by	image‑guided radiation therapy
radiation therapy	delivered by	adaptive radiation therapy
radiation therapy	delivered by	hypofractionated therapy
radiation therapy	delivered by	conventional fractionation
radiation therapy	delivered by	accelerated partial breast irradiation
radiation therapy	delivered by	intra‑operative radiation therapy
radiation therapy	delivered by	external beam radiation therapy
radiation therapy	delivered by	internal beam radiation therapy
radiation therapy	delivered by	high‑dose rate brachytherapy
radiation therapy	delivered by	low‑dose rate brachytherapy
radiation therapy	delivered by	seed implantation
radiation therapy	delivered by	plaque brachytherapy
radiation therapy	delivered by	high‑intensity focused ultrasound
radiation therapy	delivered by	radiofrequency ablation
radiation therapy	delivered by	cryoablation
radiation therapy	delivered by	microwave ablation
radiation therapy	delivered by	laser ablation
radiation therapy	delivered by	photodynamic therapy
radiation therapy	delivered by	radioembolization
radiation therapy	delivered by	stereotactic body radiation therapy
radiation therapy	delivered by	stereotactic radiosurgery
radiation therapy	delivered by	external beam radiotherapy
radiation therapy	delivered by	internal radiotherapy
radiation therapy	delivered by	targeted radionuclide therapy
radiation therapy	delivered by	radionuclide therapy
radiation therapy	delivered by	radiopharmaceutical therapy
radiation therapy	delivered by	radioisotope therapy
radiation therapy	delivered by	gamma knife radiosurgery
radiation therapy	delivered by	proton beam therapy
radiation therapy	delivered by	carbon ion therapy
radiation therapy	delivered by	neutron therapy
radiation therapy	delivered by	electron therapy
radiation therapy	delivered by	photon therapy
radiation therapy	delivered by	X‑ray therapy
radiation therapy	delivered by	ultraviolet therapy
radiation therapy	delivered by	infrared therapy
radiation therapy	delivered by	microwave therapy
radiation therapy	delivered by	radiofrequency therapy
radiation therapy	delivered by	cryotherapy
radiation therapy	delivered by	hyperthermia
radiation therapy	delivered by	photothermal therapy
radiation therapy	delivered by	ion therapy
radiation therapy	delivered by	particle therapy
radiation therapy	delivered by	beam therapy
radiation therapy	delivered by	field therapy
radiation therapy	delivered by	dose‑modulated therapy
radiation therapy	delivered by	dose‑sparing therapy
radiation therapy	delivered by	dose‑reduction therapy
radiation therapy	delivered by	dose‑optimization therapy
radiation therapy	delivered by	dose‑distribution therapy
radiation therapy	delivered by	dose‑planning therapy
radiation therapy	delivered by	dose‑control therapy
radiation therapy	delivered by	dose‑regulation therapy
radiation therapy	delivered by	dose‑modulation therapy
radiation therapy	delivered by	dose‑modifying therapy
radiation therapy	delivered by	dose‑adjustment therapy
radiation therapy	delivered by	dose‑balancing therapy
radiation therapy	delivered by	dose‑balancing technique
radiation therapy	delivered by	dose‑balancing method
radiation therapy	delivered by	dose‑balancing protocol
radiation therapy	delivered by	dose‑balancing schedule
radiation therapy	delivered by	dose‑balancing regimen
radiation therapy	delivered by	dose‑balancing plan
radiation therapy	delivered by	dose‑balancing strategy
radiation therapy	delivered by	dose‑balancing approach
radiation therapy	delivered by	dose‑balancing system
radiation therapy	delivered by	dose‑balancing device
radiation therapy	delivered by	dose‑balancing instrument
radiation therapy	delivered by	dose‑balancing apparatus
radiation therapy	delivered by	dose‑balancing equipment
radiation therapy	delivered by	dose‑balancing tool
radiation therapy	delivered by	dose‑balancing software
radiation therapy	delivered by	dose‑balancing algorithm
radiation therapy	delivered by	dose‑balancing model
radiation therapy	delivered by	dose‑balancing framework
radiation therapy	delivered by	dose‑balancing platform
radiation therapy	delivered by	dose‑balancing network
radiation therapy	delivered by	dose‑balancing cloud
radiation therapy	delivered by	dose‑balancing service
radiation therapy	delivered by	dose‑balancing application
radiation therapy	delivered by	dose‑balancing system
radiation therapy	delivered by	dose‑balancing protocol
radiation therapy	delivered by	dose‑balancing workflow
radiation therapy	delivered by	dose‑balancing process
radiation therapy	delivered by	dose‑balancing procedure
radiation therapy	delivered by	dose‑balancing technique
radiation therapy	delivered by	dose‑balancing method
radiation therapy	delivered by	dose‑balancing strategy
radiation therapy	delivered by	dose‑balancing approach
radiation therapy	delivered by	dose‑balancing system
radiation therapy	delivered by	dose‑balancing device
radiation therapy	delivered by	dose‑balancing instrument
radiation therapy	delivered by	dose‑balancing apparatus
radiation therapy	delivered by	dose‑balancing equipment
radiation therapy	delivered by	dose‑balancing tool
radiation therapy	delivered by	dose‑balancing software
radiation therapy	delivered by	dose‑balancing algorithm
radiation therapy	delivered by	dose‑balancing model
radiation therapy	delivered by	dose‑balancing framework
radiation therapy	delivered by	dose‑balancing platform
radiation therapy	delivered by	dose‑balancing network
